,timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count,,
39,12/3/2019 11:33,@amaka_MM This is what's meant to be trending and not all this @__Mbah bald guy shit 😒😒😏 @Famez_vv @Cutewalterr @chemicalbrodar @RealDreylo  #IWTT #TuesdayMotivation #TuesdayThoughts #Messi #Ronaldo #SaveOurData #COP25  Please please please you guys should help retweet this 🙏🙏🙏🙏🙏🙏,belikepresh,"[u'IWTT', u'TuesdayMotivation', u'TuesdayThoughts', u'Messi', u'Ronaldo', u'SaveOurData', u'COP25']",1511,1569,,neg
42,12/3/2019 11:31,"If Neymar was who achieve what Mane did, he would have won but sorry Mane is a black man.  #Ronaldo #Messi #BallonDor",CosmicRayTV1,"[u'Ronaldo', u'Messi', u'BallonDor']",4966,5019,,neg
52,12/3/2019 11:22,"Abuja peeps, are you looking for where to hold your end of the year party at affordable price? You should stop searching. @TheCansNg is your right stop for events, meetings and conferences.  #Ronaldo #Africa #Abuja #Events #Coworkingspace #BallonDor2019 https://t.co/xG0cb585iz",oluwakays,"[u'Ronaldo', u'Africa', u'Abuja', u'Events', u'Coworkingspace', u'BallonDor2019']",4246,6711,,neg
59,12/3/2019 11:17,BUSTED: WOMAN FINDS OUT HER HUSBAND HAS BEEN HAVING SEX WITH HER MARRIED BIOLOGICAL SISTER - https://t.co/UBUXcXUvjb  #hotjist #hotgist  #Tuesdaymotivation #Messi #Ronaldo #Tuesdaymorning #saveourdata #barfest #iPhone6 #Drogba #Tuesdaythoughts #GOAT,hotjist,"[u'hotjist', u'hotgist', u'Tuesdaymotivation', u'Messi', u'Ronaldo', u'Tuesdaymorning', u'saveourdata', u'barfest', u'iPhone6', u'Drogba', u'Tuesdaythoughts', u'GOAT']",8531,7899,,neg
61,12/3/2019 11:16,GOAT ❤🐐 #Ronaldo,1881Ek,[u'Ronaldo'],4842,4617,,pos
69,12/3/2019 11:06,G.O.A.T is Only @Cristiano He is THE One &amp; Only #Ronaldo https://t.co/yXhqHTSTcc,JeSuis4Peace,[u'Ronaldo'],1555,1878,,pos
70,12/3/2019 11:05,Me looking up at the two GOAT🐐🐐 like guys na only una 😫😫  Messi Ronaldo #BallonDor2019 #Ronaldo #Messi https://t.co/ykzkPRgycj,Eminence_Tobi,"[u'BallonDor2019', u'Ronaldo', u'Messi']",2288,4617,,pos
74,12/3/2019 11:02,Wahala dey ooo  Client and picker na family member 😫😔🤕 #iphone6 #Messi6 #Ronaldo,D_Wonda,"[u'iphone6', u'Messi6', u'Ronaldo']",1709,2617,,pos
76,12/3/2019 11:01,#ronaldo’s #soccer #club #juventus now has a #token that gives its over #400m #fans #voting #power  #instacryptocurrency #instaeth #btc #btcnews #trading #altcoin #pumpanddump #AI #BigData #decentralized #markets #stockmarket https://t.co/HQLPFTktK9,CoinCapsAi,"[u'ronaldo', u'soccer', u'club', u'juventus', u'token', u'400m', u'fans', u'voting', u'power', u'instacryptocurrency', u'instaeth', u'btc', u'btcnews', u'trading', u'altcoin', u'pumpanddump', u'AI', u'BigData', u'decentralized', u'markets', u'stockmarket']",5393,6717,,pos
80,12/3/2019 11:00,"@Zeethrills Winning best student every year in a course is cool - issa LEGEND something. But winning best student every year in diff courses is not cool, it's hot🔥 🔥 🔥 - only GOAT do that. They can't understand the feelings of leaving ur comfort zone and still do great things.. #Ronaldo",Hennyoba,[u'Ronaldo'],2639,9173,,pos
83,12/3/2019 10:59,@fuck_youmate @Kevin0838996504 @Awe03523079 @goal You obviously don’t get the point at all. The only team Messi plays for apart from Barcelona is Argentina   So he should only be considered a Barcelona legend   Not the greatest of all time !!!! #BallonDor #Messi6 #Ronaldo,ilemobayo25,"[u'BallonDor', u'Messi6', u'Ronaldo']",7202,8173,,neg
84,12/3/2019 10:58,"What @Cristiano Ronaldo's sister said to @VirgilvDijk after saying 'was Juve star a rival'😱😲🤔  ""Now, dear Virgil, where you are going, Cristiano Ronaldo has gone and has come a thousand times.""   #BallonDor2019  #BallonDor2020  #Ronaldo   https://t.co/rvt8xIIXol",legitngnews,"[u'BallonDor2019', u'BallonDor2020', u'Ronaldo']",6431,8763,,pos
86,12/3/2019 10:54,@officialkrey_ @goal @TONJAY_bLud Ronaldo years in Spain the scored more hat tricks than whole Barcelona squad together #Balondor2019 #Ronaldo #Messi6,ilemobayo25,"[u'Balondor2019', u'Ronaldo', u'Messi6']",7202,9761,,pos
93,12/3/2019 10:44,"By this time 2020, Messix will handover his 7th BD'or to Messeven   #BallonDor2019 #Messix #Messi  #GOAT Piers Morgan, VVD, #Ronaldo Modric, Sneijder, Mane https://t.co/u43nCpmTDO",realnaijakolo,"[u'BallonDor2019', u'Messix', u'Messi', u'GOAT', u'Ronaldo']",7203,8736,,pos
98,12/3/2019 10:35,"Scottish Premx2, Scottish League Cup x1, Champions Lgx1, UEFA Super Cup x1 #VanDirjk   #Ronaldo  Premier Lg x3, FA Cup x1, League Cup x2, Champions League 5, Club World Cup x4, La Liga x2, Copa del Rey x2, UEFA Super Cup x2, Serie A x1, European Championship x1, Nations League x1",FelanGucci,"[u'VanDirjk', u'Ronaldo']",13217,78341,,neg
99,12/3/2019 10:34,"While some Messi fans were totally elated about this news, many Ronaldo fans found Messi unworthy of this award. https://t.co/hIDeljXhOk #BallonDor #LionelMessi #Ronaldo #Messi #CR7",GuardianNigeria,"[u'BallonDor', u'LionelMessi', u'Ronaldo', u'Messi', u'CR7']",6371,8718,,neg
