,timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count,,
23,12/2/2019 12:11,"#BallonDor2019  #Ronaldo won cups  for his country and still shining ,but continue https://t.co/SqTe9nbybi",vusi_sa,"[u'BallonDor2019', u'Ronaldo']",8938,3029,,pos
24,12/2/2019 12:09,@STermined #Messi  I love #Ronaldo too but #Messi is definitely the G.O.A.T. today  #Soccer  #Football  #BallonDor2019 https://t.co/BN2kzuoIlP,Phidd,"[u'Messi', u'Ronaldo', u'Messi', u'Soccer', u'Football', u'BallonDor2019']",1912,2910,,neg
31,12/2/2019 11:59,The Ballon d'Or 2019 winner will be announced in Paris later today.  We'll take a look at the top 3 contenders' (2018/19) season  Could it be the 6th for either #Messi or #Ronaldo?  Or the 1st for #VanDijk?  Who deserve the Ballon d'Or 2019?  #BallonDor2019 #GetSporty #BetSporty https://t.co/10vbdF7vB3,sportybetng,"[u'Messi', u'Ronaldo', u'VanDijk', u'BallonDor2019', u'GetSporty', u'BetSporty']",6706,6472,,pos
34,12/2/2019 11:53,"So I hopped on the @5AliveNG competition, about creativity.. Here's the link to the post. Please help like it and tag them. It's not a computer work is hand drawn!🙏 https://t.co/2RCQ7JcRWx   #MessiBallonDor2019 #MESSI #Ronaldo #TachaOurOnlyHype #MondayMotivation #UnbotheredMery https://t.co/TR051d0x5f",I_spitINK,"[u'MessiBallonDor2019', u'MESSI', u'Ronaldo', u'TachaOurOnlyHype', u'MondayMotivation', u'UnbotheredMery']",2714,3201,,pos
36,12/2/2019 11:52,"#BallonDor2019: Finalists, live streaming, time in India (IST) &amp; where to watch on TV  #BallonDor #MESSI #Ronaldo #VanDijk   https://t.co/0wB6y3YCNw",dna,"[u'BallonDor2019', u'BallonDor', u'MESSI', u'Ronaldo', u'VanDijk']",7462,7542,,pos
38,12/2/2019 11:50,"Gary Neville:  🗣 ""He's thinking of Pelé, those numbers, those scandalous numbers that you believe nobody will ever get over. And for me, Cristiano is going in that direction. I think he's going to play longer than Messi and in the end will do even more amazing things.""  #Ronaldo https://t.co/I1bD1f2C7c",Realmusaibrahim,[u'Ronaldo'],2825,2981,,neg
42,12/2/2019 11:43,"In 2008, Cristiano Ronaldo won the Ballon D'Or Award.   #Ronaldo #cr7 #BallonDor2019 https://t.co/dHdFDmQq1v",ipremarshi,"[u'Ronaldo', u'cr7', u'BallonDor2019']",4666,5029,,pos
45,12/2/2019 11:33,"Good Afternoon Lionel Messi Stans, as we bring the 6th ballon d’or home today, let us keep the heat on Penaldo fans, no sleep for the wicked #BallonDor2019 #Ronaldo",Dan_the_Bank,"[u'BallonDor2019', u'Ronaldo']",3800,3918,,neg
56,12/2/2019 11:13,"Oya the festive season is upon us, which of these shoes will you want as gift during this festive season?   #efccfightsforyou #FireboyDML #fireboy #AkinAlabi #Ronaldo #BallonDor2019 #Atiku #Messi #DavidoInJos #davidodidntcum #Davido #TundeEdnut #AudioMoney",Tolu_ex,"[u'efccfightsforyou', u'FireboyDML', u'fireboy', u'AkinAlabi', u'Ronaldo', u'BallonDor2019', u'Atiku', u'Messi', u'DavidoInJos', u'davidodidntcum', u'Davido', u'TundeEdnut', u'AudioMoney']",3368,3871,,pos
78,12/2/2019 10:41,TODAY GAME IS OUT . HURRY UP AND PURCHASE NOW BEFORE ITS TOO LATE  TIME : 12:30 PM  CALL OR WHATSAPP +2347066729120  #BallonDor2019 #ronaldo #messi #mtnbundlesdontexpire #davidodidntcum #newpacksnaija #DavidoinJos #TachaOurOnlyHype @mrJason100sure1 https://t.co/I58VMNwJrW,mrJason100sure1,"[u'BallonDor2019', u'ronaldo', u'messi', u'mtnbundlesdontexpire', u'davidodidntcum', u'newpacksnaija', u'DavidoinJos', u'TachaOurOnlyHype']",1595,1762,,neg
80,12/2/2019 10:40,Virgil van Dijk already feels like a winner after being nominated for this year's Ballon d'Or. . . . #BallondOr #VanDijk #Liverpool #EPL #Messi #Ronaldo #FranceFootball https://t.co/U7W6bueHSz,365Scores,"[u'BallondOr', u'VanDijk', u'Liverpool', u'EPL', u'Messi', u'Ronaldo', u'FranceFootball']",16065,19281,,pos
81,12/2/2019 10:40,TODAY GAME IS OUT . HURRY UP AND PURCHASE NOW BEFORE ITS TOO LATE  TIME : 12:30 PM   WHATSAPP +2349016457525  #MondayMotivation #BallonDor2019 #MondayMood #newpacksnaija #Messi #bond #ronaldo #easter #Nigerian #Nigerians #Nigeria #ghana #SouthAfrica #africans #africa https://t.co/8z74khB17q,MRELTONFIXEDODD,"[u'MondayMotivation', u'BallonDor2019', u'MondayMood', u'newpacksnaija', u'Messi', u'bond', u'ronaldo', u'easter', u'Nigerian', u'Nigerians', u'Nigeria', u'ghana', u'SouthAfrica', u'africans', u'africa']",2533,2201,,neg
86,12/2/2019 10:33,TODAY GAME IS OUT . HURRY UP AND PURCHASE NOW BEFORE ITS TOO LATE  TIME : 12:30 PM  CALL OR WHATSAPP +2347017363974  #BallonDor2019 #ronaldo #messi #mtnbundlesdontexpire #davidodidntcum #newpacksnaija #DavidoinJos #TachaOurOnlyHype #atiku #UnbotheredMercy #MondayMood #easter https://t.co/fhGmEweGt4,frank_fixed,"[u'BallonDor2019', u'ronaldo', u'messi', u'mtnbundlesdontexpire', u'davidodidntcum', u'newpacksnaija', u'DavidoinJos', u'TachaOurOnlyHype', u'atiku', u'UnbotheredMercy', u'MondayMood', u'easter']",3414,2901,,neg
94,12/2/2019 10:24,TODAY GAME IS OUT . HURRY UP AND PURCHASE NOW BEFORE ITS TOO LATE  TIME : 12:30 PM  CALL OR WHATSAPP +2349016694576   #BallonDor2019 #ronaldo #messi #mtnbundlesdontexpire #davidodidntcum #newpacksnaija #DavidoinJos #TachaOurOnlyHype #atiku #UnbotheredMercy #MondayMood #easter https://t.co/6d7Be5MCt4,Winingtips1,"[u'BallonDor2019', u'ronaldo', u'messi', u'mtnbundlesdontexpire', u'davidodidntcum', u'newpacksnaija', u'DavidoinJos', u'TachaOurOnlyHype', u'atiku', u'UnbotheredMercy', u'MondayMood', u'easter']",13816,18291,,neg
95,12/2/2019 10:24,TODAY GAME IS OUT . HURRY UP AND PURCHASE NOW BEFORE ITS TOO LATE  TIME : 12:30 PM  CALL OR WHATSAPP +2348124935043   #BallonDor2019 #ronaldo #messi #mtnbundlesdontexpire #davidodidntcum #newpacksnaija #DavidoinJos #TachaOurOnlyHype #atiku #UnbotheredMercy #MondayMood #easter https://t.co/PAXreyBOwW,mrjamesreal,"[u'BallonDor2019', u'ronaldo', u'messi', u'mtnbundlesdontexpire', u'davidodidntcum', u'newpacksnaija', u'DavidoinJos', u'TachaOurOnlyHype', u'atiku', u'UnbotheredMercy', u'MondayMood', u'easter']",2946,3019,,pos
